,"Actual",,"Model"
"Time","Value","Time","Value"
1524.45,107.74727,1524.45,0.0
1524.46,108.98332,1524.46,0.0
1524.47,108.73015,1524.47,0.0
1524.48,109.34207,1524.48,0.0
1524.49,109.216736,1524.49,0.0
1524.5,109.2424,1524.5,0.0
1524.51,109.23715,1524.51,0.0
1524.52,108.67816,1524.52,0.0
1524.5299,108.23262,1524.5299,0.0
1524.5399,108.32387,1524.5399,0.0
1524.5499,108.305176,1524.5499,0.0
1524.5599,108.309006,1524.5599,0.0
1524.57,108.30823,1524.57,0.0
1524.58,107.74832,1524.58,0.0
1524.59,107.86301,1524.59,0.0
1524.6,108.39957,1524.6,0.0
1524.61,108.28967,1524.61,0.0
1524.62,107.75212,1524.62,0.0
1524.63,108.42229,1524.63,0.0
1524.64,108.84506,1524.64,0.0
1524.65,109.31853,1524.65,0.0
1524.6599,109.22156,1524.6599,0.0
1524.6699,109.241425,1524.6699,0.0
1524.6799,109.79741,1524.6799,0.0
1524.69,108.563416,1524.69,0.0
1524.7,109.37622,1524.7,0.0
1524.71,108.64967,1524.71,0.0
1524.72,108.23845,1524.72,0.0
